Step (steps),Load (N),Stage,VAS score (1-100)
0,0.10072444157608694,0,1234
1801,35.33878292527174,0
1802,35.51698770652173,0
1803,35.7261846236413,0
1805,36.01286188043478,0
1806,36.043854016304344,0
1808,36.043854016304344,0
1809,36.129082389945644,0
1810,36.19881469565217,0
1812,36.37701947690217,0
1813,36.632704597826084,0
1815,36.500988020380426,0
1816,36.50873605434782,0
1818,36.67919280163043,0
1819,36.89613775271739,0
1820,37.27579141711956,0
1822,37.438500130434775,0
1823,37.27579141711956,0
1825,37.39201192663043,0
1826,37.539224572010866,0
1827,37.787161658967385,0
1829,38.19780745923912,0
1830,38.20555549320652,0
1832,38.09708301766304,0
1833,38.17456335733695,0
1834,38.23654762907608,0
1836,38.515476851902164,0
1837,38.87188641440217,0
1839,38.81765017663043,0
1840,38.724673769021734,0
1841,38.87963444836956,0
1843,39.06558726358695,0
1844,39.41424879211956,0
1846,39.60020160733695,0
1847,39.445240927989126,0
1848,39.57695750543478,0
1850,39.747414252717384,0
1851,39.933367067934775,0
1853,40.24328842663043,0
1854,40.282028596467384,0
1855,40.1813041548913,0
1857,40.227792358695645,0
1858,40.39050107201086,0
1860,40.66168226086956,0
1861,40.98709968749999,0
1862,40.925115415760864,0
1864,40.94061148369565,0
1865,41.242784808423906,0
1867,41.405493521739125,0
1868,41.70766684646738,0
1870,41.87812359374999,0
1871,41.74640701630434,0
1872,41.80064325407608,0
1874,41.90911572961956,0
1875,42.08732051086956,0
1877,42.397241869565214,0
1878,42.52121041304347,0
1879,42.41273793749999,0
1881,42.614186820652165,0
1882,42.73815536413043,0
1884,43.00158851902173,0
1885,43.37349414945651,0
1886,43.22628150407608,0
1888,43.13330509646738,0
1889,43.26502167391304,0
1891,43.43547842119565,0
1892,43.71440764402173,0
1893,43.954596697010864,0
1895,43.87711635733695,0
1896,43.94684866304347,0
1898,44.039825070652164,0
1899,44.10955737635869,0
1900,44.52795121059782,0
1902,44.71390402581521,0
1903,44.60543155027173,0
1905,44.7216520597826,0
1906,44.85336863722825,0
1907,45.06256555434782,0
1909,45.403479048913034,0
1910,45.35699084510869,0
1912,45.318250675271734,0
1913,45.480959388586946,0
1914,45.612675966032604,0
1916,45.89160518885869,0
1917,46.124046207880426,0
1919,46.038817834239126,0
1920,46.100802105978254,0
1922,46.24801475135869,0
1923,46.44946363451086,0
1924,46.75163695923912,0
1926,46.96858191032608,0
1927,46.79812516304347,0
1929,46.88335353668477,0
