Step (steps),Load (N),Stage,VAS score (1-100)
0,-0.06171278776061559,0,69
1,-0.06171278776061559,0,69
2,-0.08228371701415411,0,70
3,-0.08228371701415411,0,70
4,-0.02057092925353853,0,68
6,0.16456743402830823,0,69
7,0.4319895143243091,0,70
8,0.7714098470076949,0,69
10,1.0799737858107727,0,69
11,1.4605359770012356,0,70
13,1.9130964205790832,0,69
14,1.9542382790861603,0,69
15,1.6868161987901593,0,69
17,1.3473958661067735,0,69
18,1.5222487647618512,0,69
20,1.9336673498326218,0,69
21,1.8925254913255447,0,70
22,1.7279580572972364,0,70
24,1.7793853804310829,0,70
25,1.5119633001350818,0,70
27,1.39882318924062,0,69
28,1.7793853804310829,0,69
30,2.005665602220007,0,69
31,1.748528986550775,0,69
32,1.357681330733543,0,69
34,1.0285464626769265,0,70
35,1.2651121490926196,0,69
37,1.7279580572972364,0,69
38,1.7176725926704672,0,68
39,1.357681330733543,0,69
41,1.162257502824927,0,70
42,1.1931138967052346,0,70
44,1.3782522599870815,0,71
45,1.5428196940153898,0,69
46,1.5428196940153898,0,69
48,1.4811069062547741,0,69
49,1.2342557552123117,0,69
51,1.1519720381981575,0,69
52,1.4913923708815433,0,69
53,1.7999563096846212,0,69
55,1.6765307341633902,0,69
56,1.39882318924062,0,70
58,1.2342557552123117,0,69
59,1.4708214416280048,0,69
60,1.8205272389381597,0,69
62,1.8205272389381597,0,69
63,1.594247017149236,0,69
65,1.439965047747697,0,70
66,1.3885377246138506,0,70
68,1.6045324817760052,0,69
69,1.8925254913255447,0,70
70,1.789670845057852,0,68
72,1.5736760878956975,0,69
73,1.2239702905855425,0,70
75,1.2239702905855425,0,69
76,1.6045324817760052,0,69
77,1.789670845057852,0,68
79,1.5428196940153898,0,68
80,1.3062540075996967,0,69
82,1.0799737858107727,0,70
83,1.2856830783461581,0,69
84,1.594247017149236,0,69
86,1.6456743402830822,0,69
87,1.4708214416280048,0,69
89,1.244541219839081,0,69
90,1.0902592504375421,0,69
91,1.367966795360312,0,69
93,1.7073871280436979,0,70
94,1.6765307341633902,0,69
96,1.4913923708815433,0,69
97,1.244541219839081,0,70
98,1.2856830783461581,0,69
100,1.6148179464027745,0,69
101,1.789670845057852,0,69
103,1.6456743402830822,0,70
104,1.4811069062547741,0,69
106,1.2342557552123117,0,69
107,1.3371104014800044,0,70
108,1.635388875656313,0,69
110,1.7382435219240058,0,68
