Step (steps),Load (N),Stage,VAS score (1-100)
0,0.18595281521739127,0,361
0,0.18595281521739127,0,364
1,0.09297640760869563,0,365
3,0.0,0,365
4,-0.015496067934782606,0,360
5,0.17820478124999997,0,357
7,0.4803781059782608,0,361
8,0.6585828872282607,0,351
10,0.7438112608695651,0,346
11,0.5888505815217391,0,343
12,0.44163793614130425,0,341
14,0.4106458002717391,0,344
15,0.2866772567934782,0,342
17,0.030992135869565212,0,342
18,0.27118118885869563,0,346
19,0.6508348532608694,0,351
21,0.17045674728260868,0,353
22,-0.39514973233695644,0,352
24,-0.35640956249999994,0,354
25,-0.030992135869565212,0,353
26,0.023244101902173908,0,347
28,-0.07748033967391303,0,345
29,-0.433889902173913,0,339
31,-0.4106458002717391,0,335
32,-0.5501104116847825,0,333
33,-0.6275907513586956,0,333
35,-0.4803781059782608,0,334
36,-0.44163793614130425,0,335
38,-0.6198427173913043,0,337
39,-0.6663309211956521,0,340
40,-0.6508348532608694,0,345
42,-0.40289776630434776,0,345
43,-0.10847247554347825,0,344
45,-0.34091349456521736,0,340
46,-0.5733545135869564,0,339
47,-0.6740789551630434,0,338
49,-0.5191182758152173,0,330
50,-0.27118118885869563,0,326
52,-0.11622050951086954,0,322
53,-0.23244101902173908,0,324
55,-0.20144888315217388,0,327
56,-0.17045674728260868,0,320
57,-0.054236237771739124,0,323
59,0.20144888315217388,0,331
60,0.10847247554347825,0,332
62,-0.37190563043478253,0,334
63,-0.4726300720108695,0,331
64,-0.5191182758152173,0,332
66,-0.46488203804347816,0,332
67,-0.29442529076086954,0,326
69,-0.5191182758152173,0,322
70,-0.7360632269021739,0,316
71,-0.7980474986413042,0,316
73,-0.7360632269021739,0,316
74,-0.4493859701086956,0,310
76,-0.14721264538043477,0,316
77,-0.34091349456521736,0,314
78,-0.41839383423913035,0,318
80,-0.5268663097826086,0,323
81,-0.39514973233695644,0,323
83,-0.15496067934782606,0,324
84,-0.15496067934782606,0,324
85,-0.5036222078804347,0,319
87,-0.5036222078804347,0,318
88,-0.5191182758152173,0,313
90,-0.37965366440217385,0,310
91,-0.07748033967391303,0,305
92,-0.13171657744565216,0,303
94,-0.3254174266304347,0,307
95,-0.37965366440217385,0,305
97,-0.2789292228260869,0,306
98,-0.13171657744565216,0,307
99,0.038740169836956516,0,312
101,-0.29442529076086954,0,316
102,-0.5268663097826086,0,317
104,-0.6663309211956521,0,312
105,-0.5423623777173913,0,313
107,-0.33316546059782604,0,312
108,-0.29442529076086954,0,305
109,-0.6198427173913043,0,298
111,-0.6043466494565216,0,296
112,-0.5733545135869564,0,294
114,-0.433889902173913,0,297
115,-0.11622050951086954,0,293
116,-0.06973230570652172,0,294
118,-0.29442529076086954,0,297
119,-0.36415759646739126,0,302
121,-0.31766939266304345,0,305
122,-0.2401890529891304,0,304
123,-0.061984271739130424,0,307
125,-0.27118118885869563,0,304
126,-0.46488203804347816,0,300
128,-0.5268663097826086,0,298
129,-0.5036222078804347,0,291
130,-0.3099213586956521,0,287
132,-0.18595281521739127,0,288
133,-0.46488203804347816,0,282
135,-0.5578584456521738,0,285
136,-0.5888505815217391,0,288
137,-0.5036222078804347,0,285
139,-0.2634331548913043,0,291
140,-0.2479370869565217,0,296
142,-0.4571340040760869,0,298
143,-0.46488203804347816,0,296
144,-0.42614186820652167,0,293
146,-0.2866772567934782,0,294
147,-0.09297640760869563,0,290
149,-0.2401890529891304,0,284
150,-0.41839383423913035,0,278
151,-0.5578584456521738,0,275
153,-0.5656064796195651,0,278
154,-0.35640956249999994,0,278
156,-0.15496067934782606,0,274
